OrderID,Quantity,UnitPrice(USD),Status,OrderDate,Product_Category,Sales_Manager,Shipping_Cost(USD),Delivery_Time(Days),Shipping_Address,Product_Code,OrderCode
2.95111E+18,92,238,Not Delivered,8/8/2021,Healthcare,Pablo,21,25,Singapore,HC-188,444116
2.18191E+18,61,136,Not Delivered,3/10/2021,Office,Pablo,34,14,UK,O-555,444772
3.23911E+18,67,235,Not Delivered,27/9/2021,Office,Kristen,25,11,Kenya,O-188,444666
1.11261E+18,33,133,Not Shipped,30/7/2021,Fashion,Abdul,34,24,USA,F-555,444007
1.54831E+18,13,189,Not Delivered,15/8/2021,Fashion,Stella,24,19,Kenya,F-555,444223
4.93481E+18,51,204,Not Delivered,13/11/2021,Entertainment,Abdul,32,18,UK,ENT-188,445113
2.75041E+18,73,242,Not Delivered,8/7/2021,Healthcare,Emma,34,10,UK,HC-555,443885
4.79751E+18,48,240,Delivered,4/10/2021,Fashion,Abdul,22,21,Kenya,F-203,444773
2.80411E+18,31,163,Not Shipped,23/12/2021,Fashion,Abdul,34,16,Kenya,F-901,445553
1.73591E+18,62,214,Not Delivered,14/8/2021,Fashion,John,22,17,Germany,F-901,444222
4.33721E+18,57,226,Not Shipped,27/9/2021,Home,John,24,14,UK,H-555,444666
2.59601E+18,44,246,Delivered,11/7/2021,Office,Stella,20,12,Kenya,O-555,443888
3.88231E+18,78,219,Delivered,29/10/2021,Entertainment,Emma,24,19,USA,ENT-901,444998
4.58361E+18,46,208,Not Shipped,28/7/2021,Home,Jacob,29,19,UK,H-188,444005
2.55991E+18,55,233,Not Delivered,15/7/2021,Healthcare,Kristen,25,18,India,HC-555,443992
1.44481E+18,5,119,Not Shipped,13/10/2021,Office,Stella,33,20,India,O-555,444882
2.80881E+18,96,115,Delivered,17/10/2021,Home,Jacob,30,25,Kenya,H-901,444886
1.93251E+18,62,237,Delivered,24/8/2021,Fashion,Stella,32,13,Italy,F-203,444332
3.10511E+18,79,213,Delivered,26/10/2021,Home,Abdul,27,14,China,H-203,444995
4.27641E+18,83,224,Not Delivered,10/7/2021,Healthcare,Sofia,24,24,Kenya,HC-203,443887
2.46901E+18,15,156,Shipped,13/12/2021,Entertainment,Pablo,29,19,Germany,ENT-101,445443
4.03041E+18,21,123,Not Delivered,10/10/2021,Entertainment,Kristen,30,15,India,ENT-188,444779
2.11151E+18,74,250,Delivered,8/12/2021,Healthcare,Maria,25,21,Italy,HC-901,445338
3.62931E+18,78,155,Delivered,2/12/2021,Entertainment,Anthony,35,12,China,ENT-188,445332
3.50931E+18,8,119,Shipped,1/11/2021,Healthcare,Jacob,32,10,UK,HC-188,445001
3.06371E+18,100,173,Not Delivered,22/12/2021,Office,Jacob,21,23,Germany,O-630,445552
2.95841E+18,53,141,Shipped,29/10/2021,Home,Pablo,34,18,Italy,H-203,444998
4.95611E+18,1,154,Not Shipped,4/10/2021,Fashion,Pablo,26,23,China,F-555,444773
3.09181E+18,45,211,Delivered,15/9/2021,Entertainment,Emma,34,14,Germany,ENT-630,444554
3.34851E+18,1,212,Delivered,18/12/2021,Home,Sofia,31,24,Kenya,H-203,445448
1.40891E+18,7,130,Delivered,4/7/2021,Healthcare,Sofia,20,,UK,HC-630,443881
3.99791E+18,61,134,Shipped,3/7/2021,Entertainment,Anthony,33,16,Kenya,ENT-901,443880
1.85911E+18,22,155,Shipped,14/8/2021,Home,Jacob,35,13,Kenya,H-203,444222
3.25551E+18,96,202,Delivered,20/8/2021,Office,Anthony,22,24,Italy,O-555,444228
4.09701E+18,72,200,Delivered,12/12/2021,Fashion,Emma,28,16,UK,F-555,445442
2.66551E+18,4,219,Shipped,18/12/2021,Office,Stella,33,17,Germany,O-901,445448
4.27371E+18,97,202,Shipped,4/7/2021,Fashion,Anthony,23,22,Italy,F-203,443881
3.97101E+18,21,245,Delivered,4/10/2021,Home,Sofia,26,16,Germany,H-101,444773
