,OrderID,Quantity,UnitPrice(USD),Status,OrderDate,Product_Category,Sales_Manager,Shipping_Cost(USD),Delivery_Time(Days),Shipping_Address,Product_Code,OrderCode
0,2951110000999929511,92,238,Not Delivered,2021-08-08,Healthcare,Pablo,21,25.0,Singapore,HC-188,444116
1,2181910000999921819,61,136,Not Delivered,2021-10-03,Office,Pablo,34,14.0,UK,O-555,444772
2,3239110000999932391,67,235,Not Delivered,2021-09-27,Office,Kristen,25,11.0,Kenya,O-188,444666
3,1112610000999911126,33,133,Not Shipped,2021-07-30,Fashion,Abdul,34,24.0,USA,F-555,444007
4,1548310000999915483,13,189,Not Delivered,2021-08-15,Fashion,Stella,24,19.0,Kenya,F-555,444223
5,4934810000999949348,51,204,Not Delivered,2021-11-13,Entertainment,Abdul,32,18.0,UK,ENT-188,445113
6,2750410000999927504,73,242,Not Delivered,2021-07-08,Healthcare,Emma,34,10.0,UK,HC-555,443885
7,4797510000999947975,48,240,Delivered,2021-10-04,Fashion,Abdul,22,21.0,Kenya,F-203,444773
8,2804110000999928041,31,163,Not Shipped,2021-12-23,Fashion,Abdul,34,16.0,Kenya,F-901,445553
9,1735910000999917359,62,214,Not Delivered,2021-08-14,Fashion,John,22,17.0,Germany,F-901,444222
10,4337210000999943372,57,226,Not Shipped,2021-09-27,Home,John,24,14.0,UK,H-555,444666
11,2596010000999925960,44,246,Delivered,2021-07-11,Office,Stella,20,12.0,Kenya,O-555,443888
12,3882310000999938823,78,219,Delivered,2021-10-29,Entertainment,Emma,24,19.0,USA,ENT-901,444998
13,4583610000999945836,46,208,Not Shipped,2021-07-28,Home,Jacob,29,19.0,UK,H-188,444005
14,2559910000999925599,55,233,Not Delivered,2021-07-15,Healthcare,Kristen,25,18.0,India,HC-555,443992
15,1444810000999914448,5,119,Not Shipped,2021-10-13,Office,Stella,33,20.0,India,O-555,444882
16,2808810000999928088,96,115,Delivered,2021-10-17,Home,Jacob,30,25.0,Kenya,H-901,444886
17,1932510000999919325,62,237,Delivered,2021-08-24,Fashion,Stella,32,13.0,Italy,F-203,444332
18,3105110000999931051,79,213,Delivered,2021-10-26,Home,Abdul,27,14.0,China,H-203,444995
19,4276410000999942764,83,224,Not Delivered,2021-07-10,Healthcare,Sofia,24,24.0,Kenya,HC-203,443887
20,2469010000999924690,15,156,Shipped,2021-12-13,Entertainment,Pablo,29,19.0,Germany,ENT-101,445443
21,4030410000999940304,21,123,Not Delivered,2021-10-10,Entertainment,Kristen,30,15.0,India,ENT-188,444779
22,2111510000999921115,74,250,Delivered,2021-12-08,Healthcare,Maria,25,21.0,Italy,HC-901,445338
23,3629310000999936293,78,155,Delivered,2021-12-02,Entertainment,Anthony,35,12.0,China,ENT-188,445332
24,3509310000999935093,8,119,Shipped,2021-11-01,Healthcare,Jacob,32,10.0,UK,HC-188,445001
25,3063710000999930637,100,173,Not Delivered,2021-12-22,Office,Jacob,21,23.0,Germany,O-630,445552
26,2958410000999929584,53,141,Shipped,2021-10-29,Home,Pablo,34,18.0,Italy,H-203,444998
27,4956110000999949561,1,154,Not Shipped,2021-10-04,Fashion,Pablo,26,23.0,China,F-555,444773
28,3091810000999930918,45,211,Delivered,2021-09-15,Entertainment,Emma,34,14.0,Germany,ENT-630,444554
29,3348510000999933485,1,212,Delivered,2021-12-18,Home,Sofia,31,24.0,Kenya,H-203,445448
30,1408910000999914089,7,130,Delivered,2021-07-04,Healthcare,Sofia,20,,UK,HC-630,443881
31,3997910000999939979,61,134,Shipped,2021-07-03,Entertainment,Anthony,33,16.0,Kenya,ENT-901,443880
32,1859110000999918591,22,155,Shipped,2021-08-14,Home,Jacob,35,13.0,Kenya,H-203,444222
33,3255510000999932555,96,202,Delivered,2021-08-20,Office,Anthony,22,24.0,Italy,O-555,444228
34,4097010000999940970,72,200,Delivered,2021-12-12,Fashion,Emma,28,16.0,UK,F-555,445442
35,2665510000999926655,4,219,Shipped,2021-12-18,Office,Stella,33,17.0,Germany,O-901,445448
36,4273710000999942737,97,202,Shipped,2021-07-04,Fashion,Anthony,23,22.0,Italy,F-203,443881
37,3971010000999939710,21,245,Delivered,2021-10-04,Home,Sofia,26,16.0,Germany,H-101,444773
38,1908510000999919085,15,160,Shipped,2021-10-04,Home,Kristen,21,16.0,UK,H-555,444773
39,3092710000999930927,91,129,Not Shipped,2021-11-21,Home,Anthony,25,25.0,Italy,H-555,445221
40,3353310000999933533,68,224,Not Shipped,2021-12-30,Healthcare,Anthony,31,23.0,Singapore,HC-188,445660
41,4473810000999944738,10,230,Not Delivered,2021-11-01,Healthcare,Jacob,31,12.0,Kenya,HC-101,445001
42,3977310000999939773,11,212,Not Shipped,2021-09-02,Home,Stella,26,18.0,China,H-101,444441
43,2706410000999927064,3,156,Shipped,2021-07-16,Entertainment,Jacob,30,11.0,Germany,ENT-630,443993
44,1559510000999915595,94,123,Delivered,2021-11-15,Fashion,Maria,22,12.0,UK,F-630,445115
45,3199510000999931995,49,220,Not Shipped,2021-12-06,Healthcare,Jacob,32,19.0,Italy,HC-901,445336
46,3847710000999938477,23,225,Not Shipped,2021-11-27,Healthcare,Kristen,24,12.0,India,HC-901,445227
47,2097210000999920972,62,216,Delivered,2021-10-09,Home,Emma,20,10.0,India,H-188,444778
48,4983010000999949830,13,228,Shipped,2021-10-13,Office,Maria,28,18.0,Singapore,O-555,444882
49,4623810000999946238,9,207,Shipped,2021-10-20,Home,Pablo,32,21.0,UK,H-203,444889
50,1030910000999910309,7,152,Not Shipped,2021-10-19,Fashion,Maria,32,12.0,Singapore,F-630,444888
51,4730410000999947304,38,224,Delivered,2021-07-07,Fashion,Emma,30,24.0,Germany,F-630,443884
52,2186010000999921860,31,141,Not Shipped,2021-10-26,Fashion,Emma,24,18.0,USA,F-901,444995
53,1367410000999913674,96,169,Shipped,2021-10-07,Home,Emma,23,12.0,China,H-901,444776
54,4861510000999948615,100,237,Shipped,2021-10-03,Office,John,25,13.0,Italy,O-101,444772
55,4371410000999943714,73,191,Not Delivered,2021-11-16,Healthcare,Jacob,33,15.0,USA,HC-630,445116
56,3594610000999935946,1,196,Delivered,2021-11-11,Healthcare,John,35,21.0,USA,HC-188,445111
57,2585010000999925850,23,143,Delivered,2021-08-24,Office,Jacob,27,17.0,Germany,O-188,444332
58,3535810000999935358,12,223,Not Delivered,2021-12-10,Healthcare,Emma,29,16.0,UK,HC-630,445440
59,4574510000999945745,7,244,Not Shipped,2021-10-04,Home,John,33,12.0,India,H-203,444773
60,3482510000999934825,65,238,Not Delivered,2021-10-17,Entertainment,Emma,26,16.0,USA,ENT-101,444886
