City,Country
London,United Kingdom
Paris,France
New York,United States of America
Moscow,Russia
Dubai,United Arab Emirates
Tokyo,Japan
Singapore,Singapore
Los Angeles,United States of America
Barcelona,Spain
Madrid,Spain
Rome,Italy
Doha,Qatar
Chicago,United States of America
Abu Dhabi,United Arab Emirates
San Francisco,United States of America
Amsterdam,Netherlands
St. Petersburg,Russia
Toronto,Canada
Sydney,Australia
Berlin,Germany
Las Vegas,United States of America
Washington DC,United States of America
Istanbul,Turkey
Vienna,Austria
Beijing,China
Prague,Czech Republic
Milan,Italy
San Diego,United States of America
Hong Kong,Hong Kong
Melbourne,Australia
Boston,United States of America
Houston,United States of America
Dublin,Ireland
Miami,United States of America
Zurich,Switzerland
Seattle,United States of America
Budapest,Hungary
SaoPaulo,Brazil
Munich,Germany
Bangkok,Thailand
Orlando,United States of America
Seoul,South Korea
Atlanta,United States of America
Dallas,United States of America
Frankfurt,Germany
Vancouver,Canada
Austin,United States of America
Montréal,Canada
Calgary,Canada
Delhi,India
Lisbon,Portugal
Naples,Italy
Osaka,Japan
SanJose,United States of America
Riyadh,Saudi Arabia
Denver,United States of America
Philadelphia,United States of America
TelAviv,Israel
Copenhagen,Denmark
Brussels,Belgium
Brisbane,Australia
Valencia,Spain
BuenosAires,Argentina
Taipei,Taiwan
Rio de Janeiro,Brazil
Portland,United States of America
Hamburg,Germany
Kuwait,Kuwait
Warsaw,Poland
Athens,Greece
Perth,Australia
Helsinki,Finland
Minneapolis,United States of America
Oslo,Norway
Shanghai,China
Phoenix,United States of America
Auckland,New Zealand
New Orleans,United States of America
Jerusalem,Israel
Muscat,Oman
Nashville,United States of America
Stockholm,Sweden
Santiago,Chile
Ottawa,Canada
Baltimore,United States of America
Edmonton,Canada
Lyon,France
Marseille,France
Adelaide,Australia
Goteborg,Sweden
Bilbao,Spain
Mexico City,Mexico
SaltLake City,United States of America
Mumbai,India
Sacramento,United States of America
San Antonio,United States of America
Tucson,United States of America
Seville,Spain
Charlotte,United States of America
Nanjing,China
