name,location,coords
London,London,POINT (-0.1276474 51.5073219)
Paris,Paris,POINT (2.320041021720077 48.8588897)
New York,New York,POINT (-74.00601519999999 40.7127281)
Moscow,Москва,POINT (37.6174943 55.7504461)
Dubai,دبي,POINT (55.2924914 25.2653471)
Tokyo,東京都,POINT (139.7594549 35.6828387)
Singapore,Singapore,POINT (103.8194992 1.357107)
Los Angeles,Los Angeles,POINT (-118.242766 34.0536909)
Barcelona,Barcelona,POINT (2.1774322 41.3828939)
Madrid,Madrid,POINT (-3.7035825 40.4167047)
Rome,Roma,POINT (12.4829321 41.8933203)
Doha,الدوحة,POINT (51.5264162 25.2856329)
Chicago,Chicago,POINT (-87.6244212 41.8755616)
Abu Dhabi,نادي العاصمة للفروسية +971501222551,POINT (54.3774014 24.4538352)
San Francisco,San Francisco,POINT (-122.419906 37.7790262)
Amsterdam,Amsterdam,POINT (4.8936041 52.3727598)
St. Petersburg,Санкт-Петербург,POINT (30.38061935702552 59.91785735000001)
Toronto,Old Toronto,POINT (-79.3839347 43.6534817)
Sydney,Sydney,POINT (150.9568559523945 -33.768528)
Berlin,Berlin,POINT (13.3888599 52.5170365)
Las Vegas,Las Vegas,POINT (-115.148516 36.1672559)
Washington DC,Washington,POINT (-77.0365427 38.8950368)
Istanbul,İstanbul,POINT (28.9651646 41.0096334)
Vienna,Wien,POINT (16.3725042 48.2083537)
Beijing,北京市,POINT (116.3912757 39.906217)
Prague,Hlavní město Praha,POINT (14.4212535 50.0874654)
Milan,Milano,POINT (9.1896346 45.4641943)
San Diego,San Diego,POINT (-117.1627728 32.7174202)
Hong Kong,香港島 Hong Kong Island,POINT (114.1628131 22.2793278)
Melbourne,Melbourne,POINT (144.9631608 -37.8142176)
Boston,Boston,POINT (-71.0582912 42.3602534)
Houston,Houston,POINT (-95.3676974 29.7589382)
Dublin,Dublin,POINT (-6.2602732 53.3497645)
Miami,Miami,POINT (-80.19362 25.7741728)
Zurich,Zürich,POINT (8.5410422 47.3744489)
Seattle,Seattle,POINT (-122.3300624 47.6038321)
Budapest,Budapest,POINT (19.0403594 47.4979937)
SaoPaulo,SãoPaulo,POINT (13.26131193376339 -8.832859300000001)
Munich,München,POINT (11.5753822 48.1371079)
Bangkok,กรุงเทพมหานคร,POINT (100.4934734 13.7525438)
Orlando,Orlando,POINT (-81.3790304 28.5421109)
Seoul,서울,POINT (126.9782914 37.5666791)
Atlanta,Atlanta,POINT (-84.39026440000001 33.7489924)
Dallas,Dallas,POINT (-96.7968559 32.7762719)
Frankfurt,Frankfurt am Main,POINT (8.682091700000001 50.1106444)
Vancouver,Vancouver,POINT (-123.113952 49.2608724)
Austin,Austin,POINT (-97.74369950000001 30.2711286)
Montréal,Montréal,POINT (-73.5698065 45.5031824)
Calgary,Calgary,POINT (-114.065465 51.0460954)
Delhi,Delhi,POINT (77.2219388 28.6517178)
Lisbon,Lisboa,POINT (-9.136591900000001 38.7077507)
Naples,Napoli,POINT (14.2487826 40.8359336)
Osaka,大阪府,POINT (135.490357 34.6198813)
SanJose,Sanjose,POINT (75.73070472235142 11.9923308)
Riyadh,الرياض,POINT (46.7160104 24.638916)
Denver,Denver,POINT (-104.9848623 39.7392364)
Philadelphia,Philadelphia,POINT (-75.16352620000001 39.9527237)
TelAviv,Rua Telaviv,POINT (-44.2508711 -19.4674786)
Copenhagen,København,POINT (12.5700724 55.6867243)
Brussels,Bruxelles - Brussel,POINT (4.351697 50.8465573)
Brisbane,Brisbane City,POINT (153.0234991 -27.4689682)
Valencia,València,POINT (-0.3763353 39.4697065)
BuenosAires,Buenos Aires,POINT (-58.4370894 -34.6075682)
Taipei,臺北市,POINT (121.5636796 25.0375198)
Rio de Janeiro,Rio de Janeiro,POINT (-43.2093727 -22.9110137)
Portland,Portland,POINT (-122.6741949 45.5202471)
Hamburg,Hamburg,POINT (10.000654 53.550341)
Kuwait,الكويت,POINT (47.4979476 29.2733964)
Warsaw,Warszawa,POINT (21.0067249 52.2319581)
Athens,Αθήνα,POINT (23.7283052 37.9839412)
