City,Country,coords,alpha2,alpha3,continent,population,longitude,latitude
London,United Kingdom,POINT (-0.1276474 51.5073219),GB,GBR,Europe,64769452,-0.1276474,51.5073219
Paris,France,POINT (2.320041021720077 48.8588897),FR,FRA,Europe,67106161,2.320041021720077,48.8588897
New York,United States of America,POINT (-74.00601519999999 40.7127281),US,USA,North America,326625791,-74.0060152,40.7127281
Moscow,Russia,POINT (37.6174943 55.7504461),RU,RUS,Europe,142257519,37.6174943,55.7504461
Dubai,United Arab Emirates,POINT (55.2924914 25.2653471),AE,ARE,Asia,6072475,55.2924914,25.2653471
Tokyo,Japan,POINT (139.7594549 35.6828387),JP,JPN,Asia,126451398,139.7594549,35.6828387
Singapore,Singapore,POINT (103.8194992 1.357107),SG,SGP,Asia,5686000,103.8194992,1.357107
Los Angeles,United States of America,POINT (-118.242766 34.0536909),US,USA,North America,326625791,-118.242766,34.0536909
Barcelona,Spain,POINT (2.1774322 41.3828939),ES,ESP,Europe,48958159,2.1774322,41.3828939
Madrid,Spain,POINT (-3.7035825 40.4167047),ES,ESP,Europe,48958159,-3.7035825,40.4167047
Rome,Italy,POINT (12.4829321 41.8933203),IT,ITA,Europe,62137802,12.4829321,41.8933203
Doha,Qatar,POINT (51.5264162 25.2856329),QA,QAT,Asia,2314307,51.5264162,25.2856329
Chicago,United States of America,POINT (-87.6244212 41.8755616),US,USA,North America,326625791,-87.6244212,41.8755616
Abu Dhabi,United Arab Emirates,POINT (54.3774014 24.4538352),AE,ARE,Asia,6072475,54.3774014,24.4538352
San Francisco,United States of America,POINT (-122.419906 37.7790262),US,USA,North America,326625791,-122.419906,37.7790262
Amsterdam,Netherlands,POINT (4.8936041 52.3727598),NL,NLD,Europe,17084719,4.8936041,52.3727598
St. Petersburg,Russia,POINT (30.38061935702552 59.91785735000001),RU,RUS,Europe,142257519,30.38061935702552,59.91785735000001
Toronto,Canada,POINT (-79.3839347 43.6534817),CA,CAN,North America,35623680,-79.3839347,43.6534817
Sydney,Australia,POINT (150.9568559523945 -33.768528),AU,AUS,Oceania,23232413,150.9568559523945,-33.768528
Berlin,Germany,POINT (13.3888599 52.5170365),DE,DEU,Europe,80594017,13.3888599,52.5170365
