work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2020,MI,FT,Data Scientist,70000,EUR,79833,Germany,0,Germany,L
2020,SE,FT,Machine Learning Scientist,260000,USD,260000,Japan,0,Japan,S
2020,SE,FT,Big Data Engineer,85000,GBP,109024,United Kingdom,50,United Kingdom,M
2020,MI,FT,Product Data Analyst,20000,USD,20000,Honduras,0,Honduras,S
2020,SE,FT,Machine Learning Engineer,150000,USD,150000,USA,50,USA,L
2020,EN,FT,Data Analyst,72000,USD,72000,USA,100,USA,L
2020,SE,FT,Lead Data Scientist,190000,USD,190000,USA,100,USA,S
2020,MI,FT,Data Scientist,11000000,HUF,35735,Hungary,50,Hungary,L
2020,MI,FT,Business Data Analyst,135000,USD,135000,USA,100,USA,L
2020,SE,FT,Lead Data Engineer,125000,USD,125000,New Zealand,50,New Zealand,S
2020,EN,FT,Data Scientist,45000,EUR,51321,France,0,France,S
2020,MI,FT,Data Scientist,3000000,INR,40481,India,0,India,L
2020,EN,FT,Data Scientist,35000,EUR,39916,France,0,France,M
2020,MI,FT,Lead Data Analyst,87000,USD,87000,USA,100,USA,L
2020,MI,FT,Data Analyst,85000,USD,85000,USA,100,USA,L
2020,MI,FT,Data Analyst,8000,USD,8000,Pakistan,50,Pakistan,L
2020,EN,FT,Data Engineer,4450000,JPY,41689,Japan,100,Japan,S
2020,SE,FT,Big Data Engineer,100000,EUR,114047,Poland,100,United Kingdom,S
2020,EN,FT,Data Science Consultant,423000,INR,5707,India,50,India,M
2020,MI,FT,Lead Data Engineer,56000,USD,56000,Portugal,100,USA,M
2020,MI,FT,Machine Learning Engineer,299000,CNY,43331,China,0,China,M
2020,MI,FT,Product Data Analyst,450000,INR,6072,India,100,India,L
2020,SE,FT,Data Engineer,42000,EUR,47899,Greece,50,Greece,L
2020,MI,FT,BI Data Analyst,98000,USD,98000,USA,0,USA,M
2020,MI,FT,Lead Data Scientist,115000,USD,115000,UAE,0,UAE,L
2020,EX,FT,Director of Data Science,325000,USD,325000,USA,100,USA,L
2020,EN,FT,Research Scientist,42000,USD,42000,Netherlands,50,Netherlands,L
2020,SE,FT,Data Engineer,720000,MXN,33511,Mexico,0,Mexico,S
2020,EN,CT,Business Data Analyst,100000,USD,100000,USA,100,USA,L
2020,SE,FT,Machine Learning Manager,157000,CAD,117104,Canada,50,Canada,L
2020,MI,FT,Data Engineering Manager,51999,EUR,59303,Germany,100,Germany,S
2020,EN,FT,Big Data Engineer,70000,USD,70000,USA,100,USA,L
2020,SE,FT,Data Scientist,60000,EUR,68428,Greece,100,USA,L
2020,MI,FT,Research Scientist,450000,USD,450000,USA,0,USA,M
2020,MI,FT,Data Analyst,41000,EUR,46759,France,50,France,L
2020,MI,FT,Data Engineer,65000,EUR,74130,Austria,50,Austria,L
2020,MI,FT,Data Science Consultant,103000,USD,103000,USA,100,USA,L
2020,EN,FT,Machine Learning Engineer,250000,USD,250000,USA,50,USA,L
2020,EN,FT,Data Analyst,10000,USD,10000,Nigeria,100,Nigeria,S
2020,EN,FT,Machine Learning Engineer,138000,USD,138000,USA,100,USA,S
2020,MI,FT,Data Scientist,45760,USD,45760,Philippines,100,USA,S
2020,EX,FT,Data Engineering Manager,70000,EUR,79833,Spain,50,Spain,L
2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,Portugal,0,Portugal,M
2020,MI,FT,Data Engineer,106000,USD,106000,USA,100,USA,L
2020,MI,FT,Data Engineer,88000,GBP,112872,United Kingdom,50,United Kingdom,L
2020,EN,PT,ML Engineer,14000,EUR,15966,Germany,100,Germany,S
2020,MI,FT,Data Scientist,60000,GBP,76958,United Kingdom,100,United Kingdom,S
2020,SE,FT,Data Engineer,188000,USD,188000,USA,100,USA,L
2020,MI,FT,Data Scientist,105000,USD,105000,USA,100,USA,L
2020,MI,FT,Data Engineer,61500,EUR,70139,France,50,France,L
2020,EN,FT,Data Analyst,450000,INR,6072,India,0,India,S
2020,EN,FT,Data Analyst,91000,USD,91000,USA,100,USA,L
2020,EN,FT,AI Scientist,300000,DKK,45896,Denmark,50,Denmark,S
2020,EN,FT,Data Engineer,48000,EUR,54742,Pakistan,100,Germany,L
2020,SE,FL,Computer Vision Engineer,60000,USD,60000,Russia,100,USA,S
2020,SE,FT,Principal Data Scientist,130000,EUR,148261,Germany,100,Germany,M
2020,MI,FT,Data Scientist,34000,EUR,38776,Spain,100,Spain,M
2020,MI,FT,Data Scientist,118000,USD,118000,USA,100,USA,M
2020,SE,FT,Data Scientist,120000,USD,120000,USA,50,USA,L
2020,MI,FT,Data Scientist,138350,USD,138350,USA,100,USA,M
