ID,Education,Marital,Income,Kid,PurNum_Web,PurNum_Deals,$Meat,$Fish,$Wines,Fruits
5524,Graduation,Single,58138,0,8,3,546,172,635,88
2174,Graduation,Single,46344,1,1,2,6,2,11,1
4141,Graduation,Married,71613,0,8,1,127,111,426,49
6182,Graduation,Married,26646,1,2,2,20,10,11,4
5324,PhD,Married,58293,1,5,5,118,46,173,43
7446,Master,Married,62513,0,6,2,98,0,520,42
965,Graduation,Divorced,55635,0,7,4,164,50,235,65
6177,PhD,Married,33454,1,4,2,56,3,76,10
4855,PhD,Married,30351,1,3,1,24,3,14,0
5899,PhD,Married,5648,1,1,1,6,1,28,0
1994,Graduation,Married,,1,1,1,6,0,5,5
387,Basic,Married,7500,0,2,1,11,11,6,16
2125,Graduation,Divorced,63033,0,3,1,480,225,194,61
8180,Master,Divorced,59354,1,6,3,53,3,233,2
2569,Graduation,Married,17323,0,1,1,17,6,3,14
2114,PhD,Single,82800,0,7,1,115,59,1006,22
9736,Graduation,Married,41850,1,3,3,19,2,53,5
4939,Graduation,Married,37760,0,4,2,38,150,84,5
6565,Master,Married,76995,0,11,2,498,0,1012,80
2278,Basic,Single,33812,1,2,2,19,30,4,17
9360,Graduation,Married,37040,0,4,1,73,69,86,2
5376,Graduation,Married,2447,1,0,15,1725,1,1,1
1993,PhD,Married,58607,0,2,3,86,0,867,0
4047,PhD,Married,65324,0,6,3,102,21,384,0
1409,Graduation,Married,40689,0,7,7,27,39,270,3
7892,Graduation,Single,18589,0,2,2,25,15,6,4
2404,Graduation,Married,53359,1,5,4,30,3,173,4
5255,Graduation,Single,,1,27,0,3,3,5,1
9422,Graduation,Married,38360,1,2,2,42,20,36,2
1966,PhD,Married,84618,0,6,1,801,21,684,100
6864,Master,Divorced,10979,0,3,2,10,2,8,4
3033,Master,Married,38620,0,2,1,44,34,112,17
5710,Graduation,Married,40548,0,2,2,5,2,110,0
7373,PhD,Divorced,46610,0,4,6,96,33,96,12
8755,Master,Married,68657,0,3,1,471,119,482,34
10738,Master,Single,49389,1,2,1,19,2,40,0
4339,PhD,Married,67353,0,5,5,151,0,702,17
10755,Basic,Married,23718,1,3,3,14,15,6,3
8595,Graduation,Other,42429,0,1,2,6,2,55,0
2968,PhD,Divorced,48948,0,7,2,206,160,437,8
8601,Graduation,Married,80011,0,8,2,536,82,421,76
503,Master,Married,20559,1,2,2,29,3,13,1
8430,Graduation,Married,21994,0,0,1,6,3,9,0
7281,PhD,Single,,0,1,1,50,3,81,11
2139,Master,Married,7500,1,2,3,10,3,3,1
1371,Graduation,Single,79941,0,2,1,266,227,123,164
9909,Basic,Married,7500,0,3,3,14,15,3,18
7286,Graduation,Married,41728,1,2,1,15,3,13,6
7244,Graduation,Single,,2,2,3,48,6,48,5
6566,PhD,Married,72550,1,5,9,317,50,826,50
8614,Graduation,Other,65486,0,4,1,125,37,245,19
