Date,FYQuarter,FYYear,Revenue_k
2008-05-14,Q1,2008,3737527
2008-08-27,Q2,2008,4492540
2008-11-11,Q3,2008,3752834
2009-02-27,Q4,2008,4709514
2009-05-21,Q1,2009,4265120
2009-08-25,Q2,2009,4858869
2009-11-12,Q3,2009,2009172
2010-02-09,Q4,2009,4671338
2010-05-13,Q1,2010,4586454
2010-08-20,Q2,2010,4737314
2010-11-12,Q3,2010,5001923
2011-02-21,Q4,2010,5188639
2011-05-12,Q1,2011,5128082
2011-08-22,Q2,2011,5720999
2011-11-14,Q3,2011,6074346
2012-02-23,Q4,2011,6810165
2012-05-24,Q1,2012,6658362
2012-08-16,Q2,2012,6875924
2012-11-09,Q3,2012,6970893
2013-02-21,Q4,2012,7027281
2013-05-23,Q1,2013,8230454
2013-08-21,Q2,2013,8679342
2013-11-21,Q3,2013,8391710
2014-02-27,Q4,2013,8269164
2014-05-29,Q1,2014,8356765
2014-08-28,Q2,2014,8759371
2014-11-26,Q3,2014,8934173
2015-02-26,Q4,2014,9661697
2015-05-28,Q1,2015,9184358
2015-08-27,Q2,2015,8935975
2015-11-26,Q3,2015,11383779
2016-02-25,Q4,2015,11052259
2016-05-27,Q1,2016,11182403
2016-08-25,Q2,2016,10941416
2016-11-24,Q3,2016,11288472
2017-02-23,Q4,2016,11245611
2017-05-25,Q1,2017,11278069
2017-08-30,Q2,2017,10922308
2017-11-30,Q3,2017,11594296
2018-02-28,Q4,2017,11785637
2018-05-28,Q1,2018,11515335
2018-08-30,Q2,2018,11509056
2018-11-29,Q3,2018,12061550
2019-02-26,Q4,2018,12233912
2019-05-30,Q1,2019,12976475
2019-08-29,Q2,2019,13054013
2019-11-28,Q3,2019,13833435
2020-02-27,Q4,2019,12981041
2020-05-21,Q1,2020,13223775
2020-08-27,Q2,2020,11790031
2020-11-27,Q3,2020,13755301
2021-02-27,Q4,2020,13223775
