Date,FYQuarter,FYYear,Revenue_k
2007-01-22,Q4,2006,2233346
2007-04-16,Q1,2007,2209641
2007-07-17,Q2,2007,2423826
2007-10-16,Q3,2007,2414474
2008-01-21,Q4,2007,2573079
2008-04-14,Q1,2008,2636012
2008-07-17,Q2,2008,2515579
2008-10-14,Q3,2008,2791159
2009-01-20,Q4,2008,2557557
2009-04-14,Q1,2009,2431461
2009-07-20,Q2,2009,2350620
2009-10-15,Q3,2009,2438035
2010-01-20,Q4,2009,2495452
2010-04-15,Q1,2010,2507759
2010-07-20,Q2,2010,2679261
2010-10-18,Q3,2010,2877383
2011-01-25,Q4,2010,2971194
2011-04-18,Q1,2011,2991607
2011-07-25,Q2,2011,3170654
2011-10-17,Q3,2011,3272466
2012-01-30,Q4,2011,3321633
2012-04-18,Q1,2012,3373450
2012-07-23,Q2,2012,3465840
2012-10-18,Q3,2012,3588750
2013-02-06,Q4,2012,3630057
2013-04-23,Q1,2013,3673214
2013-07-23,Q2,2013,3802871
2013-10-22,Q3,2013,3869542
2014-02-05,Q4,2013,3918673
2014-04-21,Q1,2014,3948377
2014-07-24,Q2,2014,4059101
2014-10-24,Q3,2014,4324008
2015-02-05,Q4,2014,4528585
2015-04-20,Q1,2015,4600303
2015-07-30,Q2,2015,4737678
2015-10-22,Q3,2015,4914523
2016-02-03,Q4,2015,4929046
2016-04-20,Q1,2016,5037628
2016-07-28,Q2,2016,5020695
2016-10-20,Q3,2016,5031100
2017-02-02,Q4,2016,5084083
2017-04-20,Q1,2017,5028185
2017-07-25,Q2,2017,5167147
2017-10-26,Q3,2017,5312292
2018-02-22,Q4,2017,5350550
2018-05-02,Q1,2018,5349153
2018-08-15,Q2,2018,5435938
2018-10-25,Q3,2018,5624676
2019-02-20,Q4,2018,5632018
2019-04-29,Q1,2019,5567949
2019-08-14,Q2,2019,5598364
2019-11-07,Q3,2019,5614297
2020-02-26,Q4,2019,5674124
2020-05-22,Q1,2020,5515180
2020-08-28,Q2,2020,4739165
2020-11-27,Q3,2020,5132825
2021-02-25,Q4,2020,4916764
