SystemCodeNumber,Capacity,Occupancy,LastUpdated
BHMBCCMKT01,577,61,4/10/2016 7:59
BHMBCCMKT01,577,64,4/10/2016 8:25
BHMBCCMKT01,577,80,4/10/2016 8:59
BHMBCCMKT01,577,107,4/10/2016 9:32
BHMBCCMKT01,577,150,4/10/2016 9:59
BHMBCCMKT01,577,177,4/10/2016 10:26
BHMBCCMKT01,577,219,4/10/2016 10:59
BHMBCCMKT01,577,247,4/10/2016 11:25
BHMBCCMKT01,577,259,4/10/2016 11:59
BHMBCCMKT01,577,266,4/10/2016 12:29
BHMBCCMKT01,577,269,4/10/2016 13:02
BHMBCCMKT01,577,263,4/10/2016 13:29
BHMBCCMKT01,577,238,4/10/2016 14:02
BHMBCCMKT01,577,215,4/10/2016 14:29
BHMBCCMKT01,577,192,4/10/2016 14:57
BHMBCCMKT01,577,165,4/10/2016 15:30
BHMBCCMKT01,577,162,4/10/2016 16:04
BHMBCCMKT01,577,143,4/10/2016 16:31
BHMBCCMKT01,577,54,5/10/2016 7:57
BHMBCCMKT01,577,59,5/10/2016 8:30
BHMBCCMKT01,577,71,5/10/2016 9:04
BHMBCCMKT01,577,83,5/10/2016 9:30
BHMBCCMKT01,577,114,5/10/2016 10:04
BHMBCCMKT01,577,128,5/10/2016 10:30
BHMBCCMKT01,577,148,5/10/2016 11:04
BHMBCCMKT01,577,162,5/10/2016 11:30
BHMBCCMKT01,577,178,5/10/2016 12:04
BHMBCCMKT01,577,183,5/10/2016 12:30
BHMBCCMKT01,577,175,5/10/2016 12:57
BHMBCCMKT01,577,179,5/10/2016 13:30
BHMBCCMKT01,577,174,5/10/2016 13:57
BHMBCCMKT01,577,158,5/10/2016 14:30
BHMBCCMKT01,577,145,5/10/2016 14:57
BHMBCCMKT01,577,129,5/10/2016 15:30
BHMBCCMKT01,577,121,5/10/2016 16:04
BHMBCCMKT01,577,114,5/10/2016 16:30
BHMBCCMKT01,577,58,6/10/2016 7:57
BHMBCCMKT01,577,63,6/10/2016 8:30
BHMBCCMKT01,577,70,6/10/2016 8:57
BHMBCCMKT01,577,95,6/10/2016 9:30
BHMBCCMKT01,577,135,6/10/2016 10:03
BHMBCCMKT01,577,160,6/10/2016 10:30
BHMBCCMKT01,577,177,6/10/2016 10:57
BHMBCCMKT01,577,191,6/10/2016 11:30
BHMBCCMKT01,577,199,6/10/2016 12:04
BHMBCCMKT01,577,206,6/10/2016 12:30
BHMBCCMKT01,577,198,6/10/2016 12:57
BHMBCCMKT01,577,208,6/10/2016 13:30
BHMBCCMKT01,577,200,6/10/2016 13:57
BHMBCCMKT01,577,175,6/10/2016 14:30
BHMBCCMKT01,577,158,6/10/2016 15:04
BHMBCCMKT01,577,153,6/10/2016 15:31
BHMBCCMKT01,577,135,6/10/2016 16:04
BHMBCCMKT01,577,129,6/10/2016 16:30
BHMBCCMKT01,577,58,7/10/2016 8:03
BHMBCCMKT01,577,61,7/10/2016 8:30
BHMBCCMKT01,577,75,7/10/2016 9:04
BHMBCCMKT01,577,103,7/10/2016 9:30
BHMBCCMKT01,577,128,7/10/2016 9:57
BHMBCCMKT01,577,172,7/10/2016 10:30
BHMBCCMKT01,577,188,7/10/2016 10:57
BHMBCCMKT01,577,199,7/10/2016 11:30
BHMBCCMKT01,577,210,7/10/2016 12:03
BHMBCCMKT01,577,206,7/10/2016 12:30
BHMBCCMKT01,577,200,7/10/2016 13:04
BHMBCCMKT01,577,201,7/10/2016 13:30
BHMBCCMKT01,577,193,7/10/2016 14:03
BHMBCCMKT01,577,181,7/10/2016 14:30
BHMBCCMKT01,577,172,7/10/2016 15:04
