,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
33152,Italy,"Aromas of new wood, coconut and roasted coffee beans lead the nose of this blend of Merlot, Cabernet Sauvignon and Cabernet Franc. The bracing palate offers oak extract, prune, pomegranate, powdered sage and espresso alongside assertive, astringent tannins that dry out the finish. It lacks the fruit richness needed to stand up to the oak.",Lagone,85,15.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Aia Vecchia 2012 Lagone Red (Toscana),Red Blend,Aia Vecchia
38643,US,"Smoked cherries and raspberries are spiced with pencil lead, oregano and rosemary on this entry-level blend from an incredibly reliable producer. The wine is expertly balanced yet not overly showy, with red fruit midpalate and an anise spice character throughout.",,89,32.0,California,Edna Valley,Central Coast,Matt Kettmann,@mattkettmann,Kynsi 2012 Pinot Noir (Edna Valley),Pinot Noir,Kynsi
74719,US,"The aromas of this fresh, tangy wine are like parsley, garlic and lemon, and the flavors add in tart grapefruit and green tea notes. Lively, assertive and refreshing, the wine will shake up cocktail hour or a seafood course.",Wild Tusque,90,24.0,California,Sonoma County,Sonoma,Jim Gordon,@gordone_cellars,Sanglier Cellars 2014 Wild Tusque Sauvignon Blanc (Sonoma County),Sauvignon Blanc,Sanglier Cellars
62382,US,"A vivid, fresh and fragrant wine, this is alive with a luscious mix of flavors from the intriguing mix of grapes, including Syrah, Dolcetto and Barbera. Lots of strawberry, sweet cherry candy and lively, juicy acids make this a standout. There are more and more well-made red blends selling at this price point in Washington, but this goes right to the top.",,89,21.0,Washington,Washington,Washington Other,Paul Gregutt,@paulgwine ,Nelms Road 2007 Merlot (Washington),Merlot,Nelms Road
128112,US,"This vintage is thick in dusty chocolate, clove and cinnamon tones, with a sage underbite that gives it a wild edge. Soft, approachable tannins provide a crowd-pleasing entry and midpalate, while the finish reveals the wine's full-bodied, riper side.",Reserve Il Barone,85,95.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Castello di Amorosa 2012 Reserve Il Barone Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Castello di Amorosa
116534,Italy,"This well-extracted and mature expression of Nebbiolo from the Antinori estate in Piedmont is a mature and fruit-driven expression of Barbaresco with dense concentration and a New World style. There's very good complexity here in the form of black licorice, chopped mint and rhubarb.",,90,50.0,Piedmont,Barbaresco,,,,Prunotto 2006  Barbaresco,Nebbiolo,Prunotto
109141,US,"This Bordeaux-style blend is bone dry and scented strongly with dried leaves, earth and herbs. The lightly-ripened fruit suggests pomegranate and rhubarb.",Consonance,86,34.0,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Cairdeas 2011 Consonance Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Cairdeas
105031,South Africa,"A stunning Cab that's a little bit of an easy-pleaser with an assertive oaky streak througout. Hints of cigar tobacco, fresh coffee grinds and whole vanilla bean infuse the dark, jammy berry fruit flavors. The mouth is round and lush, but firm tannins and a crushed velvet texture provide structure and linger well into the spiced chocolate close.",,92,65.0,Coastal Region,,,Lauren Buzzeo,@laurbuzz,Anthonij Rupert 2007 Cabernet Sauvignon (Coastal Region),Cabernet Sauvignon,Anthonij Rupert
83492,US,"A fine Cabernet, dry and balanced. It's rich in blackberries, anise and currants, with an herbaceousness that grounds it. Food-friendly, and totally drinkable now.",Tribute to a Journey,88,40.0,California,Sonoma County,Sonoma,,,Dutcher Crossing 2007 Tribute to a Journey Cabernet Sauvignon (Sonoma County),Cabernet Sauvignon,Dutcher Crossing
120378,France,"Full in the mouth, laced with texture and acidity, this red currant-flavored wine is crisp, with an herbal character, ready to drink but could last over the winter.",Les Belles Vignes Rosé,86,26.0,Loire Valley,Sancerre,,Roger Voss,@vossroger,Fournier Père et Fils 2010 Les Belles Vignes Rosé Pinot Noir (Sancerre),Pinot Noir,Fournier Père et Fils
20813,US,"Easily worth the price for its luxurious texture, fine structure and intricate layers of flavor. Dry and softly tannic, the wine shows complex notes of blackberries, cherries, pomegranates, chocolate, coffee, leather, black pepper and anise. Now through 2010.",La Rousse Vineyard,91,24.0,California,Dry Creek Valley,Sonoma,,,Forth 2004 La Rousse Vineyard Syrah (Dry Creek Valley),Syrah,Forth
105715,,"Aromas of blackberry, strawberry and chocolate open for flavors of blackberry, Red Delicious apple peel, aniseed and vanilla. This wine is harmonious on the palate with understated tannins and breakthrough notes of summer peach on the finish.",Peak,92,50.0,,,,Mike DeSimone,@worldwineguys,Psagot 2014 Peak Red,Rhône-style Red Blend,Psagot
79480,US,"High-toned aromas of beeswax and ginger carry onto the medium-full, lissome palate, which picks up notes of glazed pear and flower.",,86,16.0,Virginia,Virginia,,,,Cooper Vineyards 2012 Chardonnay (Virginia),Chardonnay,Cooper Vineyards
43315,US,"This value-priced wine shows pressed Bing cherry juice, sagebrush and balsamic fig vinegar on the nose. The palate offers a complex combination of flavors—mocha, espresso, blackberry and anise.",,87,15.0,California,Central Coast,Central Coast,Matt Kettmann,@mattkettmann,Edna Valley Vineyard 2013 Merlot (Central Coast),Merlot,Edna Valley Vineyard
65414,US,"Fresh apples with hints of butterscotch, toast and smoke perfume this lovely Chardonnay. While a tad short in concentration, this medium-bodied wine is wonderfully fresh and clean on the palate, with beautifully balanced oak and bright acidity on the finish.",Ingle Vineyard,85,15.0,New York,Finger Lakes,Finger Lakes,Anna Lee C. Iijima,,Heron Hill 2008 Ingle Vineyard Chardonnay (Finger Lakes),Chardonnay,Heron Hill
27327,US,"Dark and brooding in savory mushroom yumminess, Paul Hobbs' more affordable Pinot Noir offers dark cherry and spice in good proportion. Concentrated, lush and perfumed it'll accompany a range of foods enjoyably.",,89,35.0,California,Anderson Valley,,Virginie Boone,@vboone,Crossbarn by Paul Hobbs 2012 Pinot Noir (Anderson Valley),Pinot Noir,Crossbarn by Paul Hobbs
42529,Italy,"This passito dessert wine from the island of Lipari delivers a deep amber color, with bright aromas of resin, caramel, butterscotch, candied fruit, chestnut and honey. The mouthfeel is rich, syrupy and very sweet.",,90,,Sicily & Sardinia,Malvasia delle Lipari,,,,Cantine Florio 2008  Malvasia delle Lipari,Malvasia,Cantine Florio
46711,US,"Smooth in tannins with a nice bite of acidity, this shows rich flavors of blackberry, cherry and spice, with a touch of mocha that gives it an apparent sweetness. It's a Bordeaux blend with some Syrah, grown in the famed Stagecoach Vineyard.",Veraison,91,50.0,California,Napa Valley,Napa,,,Krupp Brothers 2008 Veraison Red (Napa Valley),Red Blend,Krupp Brothers
59068,US,"Lean and steely, with penetrating minerality, this bone-dry Riesling just begs to be paired with briny oysters or caviar. The palate boasts delicate apple and pear flavors that are layered with smoke, fresh fennel and a deliciously herbaceous finish.",Vintner's Reserve,88,25.0,New York,Cayuga Lake,Finger Lakes,Anna Lee C. Iijima,,Hosmer 2010 Vintner's Reserve Riesling (Cayuga Lake),Riesling,Hosmer
122990,US,"Plenty of crisp acidity balances the citrus, tropical fruit and pear flavors in this ripe Chardonnay. There's also a strong jacket of smoky oak with its buttered toast and vanilla richness. The result will please Chard lovers at a good price.",Lot 361,86,15.0,California,Atlas Peak,Napa,,,Cameron Hughes 2011 Lot 361 Chardonnay (Atlas Peak),Chardonnay,Cameron Hughes
76394,Italy,"Fragrant and elegantly structured, this beautiful wine opens with scents of perfumed berry, rose petal and dark berry. The full-bodied palate delivers layers of ripe black cherry, crushed raspberry, white pepper and baking spice alongside a backbone of firm, refined tannins and fresh acidity. It's still young so give it time to reach its full potential. Drink 2019–2026.",Bric dël Fiasc,95,100.0,Piedmont,Barolo,,Kerin O’Keefe,@kerinokeefe,Paolo Scavino 2011 Bric dël Fiasc  (Barolo),Nebbiolo,Paolo Scavino
129222,Argentina,"Round, floral and sweet smelling, with citrusy acidity that pushes up passion fruit, orange and lemon flavors. There's weight and body come finishing time, and the overall impression is that of a tropical, dense white wine with some creaminess. Priced high for what you get.",Ciclos Fume,86,27.0,Other,Salta,,Michael Schachner,@wineschach,Michel Torino 2010 Ciclos Fume Sauvignon Blanc (Salta),Sauvignon Blanc,Michel Torino
4095,US,"Red plum compote is at the center of this wine, a 100% varietal, with hearty bursts of herb and green pepper, as well as savory spice. From the cooler Coombsville appellation, it is soft, round and on the paler, thinner side of Napa's ripeness spectrum, more restrained.",Estate Grown Mt. George Vineyard,86,35.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Silverado 2011 Estate Grown Mt. George Vineyard Merlot (Napa Valley),Merlot,Silverado
28100,US,"Interplanted to Carignane, Alicante Bouschet and Grand Noir, this Zin vineyard hails back to 1895, a grande dame in the region, and is farmed by Ulises Valdez. The meticulous farming and winemaking are in full view, the wine velvety in blueberry and boysenberry fruit, while well-honed tannins and a full body announce its presence. On the finish is a satisfying streak of black licorice and pepper. Cellar through 2022.",Saitone Vineyard,94,46.0,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Carlisle 2012 Saitone Vineyard Zinfandel (Russian River Valley),Zinfandel,Carlisle
56039,Spain,"On the nose, this is gaseous and mealy smelling, and the palate is flat, with flavors of pithy, bitter white fruits.",,81,15.0,Northern Spain,Navarra,,Michael Schachner,@wineschach,Vega Sindoa 2013 Chardonnay (Navarra),Chardonnay,Vega Sindoa
107813,US,"Building on the almost century of Riboli family winemaking, this wine shows honeysuckle, cracked caramel brittle and seared lemons on the approachable, familiar nose. Good tension marks the palate, with lemon butter and ripe Golden Delicious apple warmth cut by a pithy sharpness.",,88,24.0,California,Monterey,Central Coast,Matt Kettmann,@mattkettmann,Maddalena 2012 Chardonnay (Monterey),Chardonnay,Maddalena
105093,France,"This blend of Grenache and Niellucciu comes from vines that are up to 40 years old. It is a big, bold ripe and juicy wine, bursting with black plum and berry flavors. The wine is fruity enough to drink now, although it should age for at least 10 years.",YL Rouge,89,28.0,France Other,Ile de Beauté,,Roger Voss,@vossroger,Yves Leccia 2014 YL Rouge Red (Ile de Beauté),Red Blend,Yves Leccia
12652,France,This is both fruity and deliciously crisp. It has the light touch of the vintage—red fruits attractively balancing with the acidity and the tangy lemon edge. The aftertaste is both fruity and herbal. Drink now.,,90,22.0,Provence,Côtes de Provence Sainte-Victoire,,Roger Voss,@vossroger,Mas de Cadenet 2016 Rosé (Côtes de Provence Sainte-Victoire),Rosé,Mas de Cadenet
3781,New Zealand,"A rather pungent, slightly sweaty nose presages a wine that offers loads of passion fruit flavor. While it lacks a bit of dimension and complexity, this medium-bodied offering will work fine alongside citrusy ceviches and the like.",,86,16.0,Marlborough,,,Joe Czerwinski,@JoeCz,Wairau River 2013 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Wairau River
117446,France,"Beautifully ripe and aromatic notions of juicy pear and red apples play on the nose. The palate is more advanced and full of lanolin and chalk notes with a rich texture but absolutely dry. This has a rich but taut, almost balm-like body with concentration. The backbone of lemony freshness pull a tight focus. Ready now, but will develop and drink well until 2020.",Kessler Grand Cru,91,30.0,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaines Schlumberger 2012 Kessler Grand Cru Riesling (Alsace),Riesling,Domaines Schlumberger
40467,US,"Brooding aromas of pomegranate, strawberry and spice lead to tart cranberry and raspberry flavors that display exceptional balance, detail and length, with high-wire acidity.",,91,30.0,Washington,Walla Walla Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Five Star Cellars 2012 Sangiovese (Walla Walla Valley (WA)),Sangiovese,Five Star Cellars
55666,US,"The aromas seem surprisingly subdued for the variety and style, with notes of flower, herb and spice. It drinks sweet but doesn't quite have the acid to back it up.",Celilo Vineyard,88,28.0,Washington,Columbia Gorge (WA),Washington Other,Sean P. Sullivan,@wawinereport,Andrew Rich 2014 Celilo Vineyard Gewürztraminer (Columbia Gorge (WA)),Gewürztraminer,Andrew Rich
98360,Israel,"Mushy peach, mealy pear and soft melon aromas flood the bouquet, and are accented by a hint of honeycomb. A touch of citrus flavor unfolds on the round, flabby palate, followed by a short finish. Drink up.",Reserve,82,14.0,Upper Galilee,,,Lauren Buzzeo,@laurbuzz,Binyamina 2011 Reserve Sauvignon Blanc (Upper Galilee),Sauvignon Blanc,Binyamina
51649,US,"Smoky bacon and a bittersweet element of black tea make for an exotically spicy, complex and full-bodied wine from the mighty vineyard site overlooking the Petaluma Gap. Black cherry, pomegranate and cardamom are wrapped in a swaddling of toasted oak, while the mouthfeel is dense and concentrated.",Gap's Crown Vineyard,93,60.0,California,Sonoma Coast,Sonoma,Virginie Boone,@vboone,Black Kite 2014 Gap's Crown Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Black Kite
121259,US,"The second vintage of this specific block, Home is spicy in notes of orange oil and peel, with a hint of rose water. Soft, integrated tannins and a touch of graham cracker play off of juicy blackberry and plum flavors, finishing with glimmers of black and red licorice.",Home Block,93,85.0,California,Green Valley,Sonoma,Virginie Boone,@vboone,Iron Horse 2013 Home Block Pinot Noir (Green Valley),Pinot Noir,Iron Horse
