,UniqueID,disbursed_amount,asset_cost,ltv,branch_id,supplier_id,manufacturer_id,Current_pincode_ID,Date.of.Birth,Employment.Type,DisbursalDate,State_ID,Employee_code_ID,MobileNo_Avl_Flag,Aadhar_flag,PAN_flag,VoterID_flag,Driving_flag,Passport_flag,PERFORM_CNS.SCORE,PERFORM_CNS.SCORE.DESCRIPTION,PRI.NO.OF.ACCTS,PRI.ACTIVE.ACCTS,PRI.OVERDUE.ACCTS,PRI.CURRENT.BALANCE,PRI.SANCTIONED.AMOUNT,PRI.DISBURSED.AMOUNT,NO.OF_INQUIRIES,loan_default,riskcat
23047,526350,57166,70371,83.13,18,15062,45,2715,18-05-69,Salaried,21-09-18,4,1013,1,1,0,0,0,0,612,H-Medium Risk,3,2,1,336663,357083,357083,0,0,Medium Risk
117383,588434,29484,67743,45.76,3,16167,45,7,15-07-88,Salaried,19-10-18,1,1744,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
121983,615799,50578,70108,74.17,249,21674,45,2207,1/6/1971,Self employed,24-10-18,4,264,1,1,0,0,0,0,300,M-Very High Risk,3,3,2,194495,345000,345000,0,0,High Risk
8710,429156,54759,70402,79.54,67,16694,86,1514,20-12-76,Self employed,9/8/2018,6,738,1,1,0,0,0,0,556,J-High Risk,6,4,1,433675,1540116,1540116,0,0,High Risk
167392,459786,40300,69700,60.11,147,23711,86,2790,11/9/1982,Salaried,23-08-18,2,2292,1,1,0,0,0,0,300,M-Very High Risk,5,3,1,1462578,1548500,1548500,0,0,High Risk
205205,580705,59259,73097,82.08,136,24269,86,3770,10/8/1985,Salaried,15-10-18,8,3177,1,1,0,0,0,0,694,E-Low Risk,3,2,0,116352,134500,134500,0,0,Low Risk
727,566697,55763,91679,62.72,74,22928,86,2578,1/1/1979,Salaried,10/10/2018,4,83,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
87391,626481,48349,71794,69.64,34,16556,86,981,14-12-94,Salaried,26-10-18,6,1885,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
146890,420126,53303,62330,88.24,67,18532,45,1450,10/5/1994,Salaried,3/8/2018,6,970,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,1,No History
76850,531765,51428,62930,87.4,160,24019,45,551,6/3/1962,Salaried,24-09-18,15,720,1,1,0,0,0,0,608,H-Medium Risk,4,1,0,20964,28000,28000,0,0,Medium Risk
194133,579643,95906,158528,61.5,19,23491,49,1854,25-04-94,Salaried,15-10-18,4,2598,1,1,0,0,0,0,0,No Bureau History Available,0,0,0,0,0,0,0,0,No History
26082,535822,29284,68982,44.94,147,17223,86,2792,13-09-86,Salaried,25-09-18,2,523,1,0,0,1,0,0,686,E-Low Risk,10,8,0,1187594,1223000,1223000,0,0,Low Risk
